App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5720434,HDR,08/22/2016,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5739686,HDR,11/01/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5723012,HDR,09/01/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5720277,HDR,08/22/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5727947,HDR,09/21/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5730741,HDR,09/30/2016,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5722832,HDR,08/31/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5741585,HDR,11/09/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5718109,HDR,08/14/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5703816,HDR,06/11/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5717120,HDR,08/10/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5715802,HDR,08/04/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5718373,HDR,08/15/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5724016,HDR,09/06/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5734015,HDR,10/13/2016,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5714924,HDR,08/01/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5724127,HDR,09/07/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5730259,HDR,09/29/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5737721,HDR,10/25/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5726826,HDR,09/17/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5717777,HDR,08/12/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5704160,HDR,06/13/2016,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5736988,HDR,10/23/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5723142,HDR,09/01/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5719441,HDR,08/18/2016,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5709385,HDR,07/09/2016,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5740674,HDR,11/04/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5724527,HDR,09/08/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5739674,HDR,11/01/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5732767,HDR,10/07/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5721552,HDR,08/26/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5721035,HDR,08/24/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5734839,HDR,10/15/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5727803,HDR,09/21/2016,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5723128,HDR,09/01/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5714276,HDR,07/29/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5716745,HDR,08/09/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5727218,HDR,09/19/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5733108,HDR,10/10/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5717993,HDR,08/13/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5734899,HDR,10/15/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5735448,HDR,10/18/2016,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5736872,HDR,10/22/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5737983,HDR,10/26/2016,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5728851,HDR,09/25/2016,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5723737,HDR,09/05/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5733289,HDR,10/11/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5725096,HDR,09/11/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5735543,HDR,10/18/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5711054,HDR,07/17/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5725121,HDR,09/11/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5717666,HDR,08/11/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5718067,HDR,08/13/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5716503,HDR,08/08/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5717977,HDR,08/12/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5716309,HDR,08/07/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5721866,HDR,08/27/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5740697,HDR,11/04/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5739405,HDR,11/01/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5720342,HDR,08/22/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5729574,HDR,09/28/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5727575,HDR,09/20/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5729171,HDR,09/26/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5733739,HDR,10/12/2016,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5729330,HDR,09/27/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5722489,HDR,08/30/2016,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5711254,HDR,07/19/2016,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5710578,HDR,07/14/2016,Pending Fitness Interview,11/03/2016,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5729306,HDR,09/27/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5738055,HDR,10/26/2016,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5735573,HDR,10/18/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5736566,HDR,10/21/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5736959,HDR,10/23/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5736319,HDR,10/20/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5727586,HDR,09/20/2016,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5715937,HDR,08/05/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5723188,HDR,09/01/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5734964,HDR,10/16/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5729140,HDR,09/26/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5731590,HDR,10/04/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5706912,HDR,06/27/2016,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5736320,HDR,10/20/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5719085,HDR,08/17/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5718334,HDR,08/15/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5720650,HDR,08/23/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5702623,HDR,06/07/2016,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5723732,HDR,09/05/2016,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5729315,HDR,09/27/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5725904,HDR,09/14/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5714570,HDR,08/01/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5726529,HDR,09/16/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5703584,HDR,06/10/2016,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5739250,HDR,10/31/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5710320,HDR,07/14/2016,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5718248,HDR,08/15/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5739058,HDR,10/31/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5714317,HDR,07/29/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5705243,HDR,06/18/2016,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5724046,HDR,09/06/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5735447,HDR,10/18/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5712761,HDR,07/25/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5724972,HDR,09/10/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5737714,HDR,10/25/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5713124,HDR,07/26/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5718450,HDR,08/15/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5726388,HDR,09/15/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5725073,HDR,09/11/2016,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5724834,HDR,09/09/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5732937,HDR,10/08/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5735219,HDR,10/17/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5735793,HDR,10/19/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5721377,HDR,08/25/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5705412,HDR,06/20/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5722601,HDR,08/30/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5723252,HDR,09/01/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5708434,HDR,07/05/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5710006,HDR,07/12/2016,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5735456,HDR,10/18/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5733030,HDR,10/09/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5718483,HDR,08/15/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5732817,HDR,10/07/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5739614,HDR,11/01/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5737540,HDR,10/25/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5739243,HDR,10/31/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5704041,HDR,06/13/2016,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5729509,HDR,09/27/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5727256,HDR,09/19/2016,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5729751,HDR,09/28/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5737590,HDR,10/25/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5740360,HDR,11/03/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5711989,HDR,07/21/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5723253,HDR,09/01/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5725283,HDR,09/12/2016,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5739410,HDR,11/01/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5741330,HDR,11/08/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5716654,HDR,08/08/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5709238,HDR,07/08/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5736826,HDR,10/21/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5711385,HDR,07/19/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5721431,HDR,08/25/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5727612,HDR,09/21/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5732671,HDR,10/07/2016,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5737420,HDR,10/24/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5724589,HDR,09/08/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5709617,HDR,07/11/2016,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5739896,HDR,11/02/2016,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5716208,HDR,08/06/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5733504,HDR,10/11/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5735683,PDR,10/18/2016,Incomplete,Not Applicable,Not Applicable,Not Applicable,Needed,Not Applicable,Not Applicable,Not Applicable,11/09/2016 06:11:34 PM
5724106,HDR,09/07/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5731138,HDR,10/03/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5728842,HDR,09/25/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5720456,HDR,08/23/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5726399,HDR,09/15/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5724490,HDR,09/08/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5733079,HDR,10/09/2016,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5718253,HDR,08/15/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5732045,HDR,10/05/2016,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,11/09/2016 06:11:34 PM
5716430,HDR,08/08/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5725916,HDR,09/14/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5732969,HDR,10/08/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5717830,HDR,08/12/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5718376,HDR,08/15/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,11/09/2016 06:11:34 PM
5740950,HDR,11/07/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5737701,HDR,10/25/2016,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5723508,HDR,09/02/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5728589,HDR,09/23/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5738727,HDR,10/28/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5731962,HDR,10/05/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5740337,HDR,11/03/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5741267,HDR,11/08/2016,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5733083,HDR,10/09/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5715529,HDR,08/03/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5725921,HDR,09/14/2016,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5729899,HDR,09/28/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5722500,HDR,08/30/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5706622,HDR,06/24/2016,Pending Fitness Interview,11/24/2016,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5737211,HDR,10/24/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5738511,HDR,10/28/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5740999,HDR,11/07/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5733021,HDR,10/09/2016,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5724586,HDR,09/08/2016,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5706247,HDR,06/23/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5735430,HDR,10/18/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5712612,HDR,07/23/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5707780,HDR,06/30/2016,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5739643,HDR,11/01/2016,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,11/09/2016 06:11:34 PM
5732056,HDR,10/05/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
5713364,HDR,07/26/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5725626,HDR,09/13/2016,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/09/2016 06:11:34 PM
5729226,HDR,09/26/2016,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/09/2016 06:11:34 PM
